"AI Provider","Penyedia AI"
"AI Session","Sesi AI"
"Knowledge Base","Pusat Pengetahuan"
"Keyword Reply","Balasan Kata Kunci"
"Action Type","Tipe Aksi"
"Matching Type","Tipe Pencocokan"
"Custom Search Function","Fungsi Pencarian Kustom"
"WhatsApp AI Context","Konteks AI WhatsApp"
"WhatsApp Chatbot","Chatbot WhatsApp"
"WhatsApp Keyword Reply","Balasan Kata Kunci WhatsApp"
"WhatsApp Knowledge Base","Pusat Pengetahuan WhatsApp"
"AI Intelligence","Kecerdasan AI"
"Session Logs","Log Sesi"
"Auto Response","Respon Otomatis"
"Trigger","Pemicu"
